2025-05-26 00:40:21,471 Arrancando programa
2025-05-26 00:40:22,232 Iniciando mainloop...
2025-05-26 00:40:44,981 Mainloop terminado
2025-05-26 00:42:12,485 Arrancando programa
2025-05-26 00:42:13,358 Iniciando mainloop...
2025-05-26 00:42:27,679 Mainloop terminado
2025-05-26 00:42:34,393 Arrancando programa
2025-05-26 00:42:35,092 Iniciando mainloop...
2025-05-26 00:42:41,483 Mainloop terminado
2025-05-26 00:42:52,476 Arrancando programa
2025-05-26 00:42:53,273 Iniciando mainloop...
2025-05-26 00:43:03,169 Mainloop terminado
2025-05-26 00:45:03,055 Arrancando programa
2025-05-26 00:45:03,932 Iniciando mainloop...
2025-05-26 00:45:13,767 Mainloop terminado
2025-05-26 00:45:29,203 Arrancando programa
2025-05-26 00:45:29,964 Iniciando mainloop...
2025-05-26 00:45:43,505 Mainloop terminado
2025-05-26 00:45:46,551 Arrancando programa
2025-05-26 00:45:47,381 Iniciando mainloop...
2025-05-26 00:45:51,765 Mainloop terminado
2025-05-27 18:20:32,557 Arrancando programa
2025-05-27 18:20:34,043 Iniciando mainloop...
2025-05-27 18:20:46,458 Mainloop terminado
2025-05-27 19:11:34,980 Arrancando programa
2025-05-27 19:11:36,138 findfont: score(FontEntry(fname='C:\\Users\\User\\miniconda3\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmex10.ttf', name='cmex10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-27 19:11:36,138 findfont: score(FontEntry(fname='C:\\Users\\User\\miniconda3\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralItalic.ttf', name='STIXGeneral', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-05-27 19:11:36,138 findfont: score(FontEntry(fname='C:\\Users\\User\\miniconda3\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizTwoSymReg.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-27 19:11:36,138 findfont: score(FontEntry(fname='C:\\Users\\User\\miniconda3\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-27 19:11:36,138 findfont: score(FontEntry(fname='C:\\Users\\User\\miniconda3\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizFourSymReg.ttf', name='STIXSizeFourSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-27 19:11:36,138 findfont: score(FontEntry(fname='C:\\Users\\User\\miniconda3\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniBol.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-05-27 19:11:36,138 findfont: score(FontEntry(fname='C:\\Users\\User\\miniconda3\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmr10.ttf', name='cmr10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-27 19:11:36,138 findfont: score(FontEntry(fname='C:\\Users\\User\\miniconda3\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmb10.ttf', name='cmb10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-27 19:11:36,138 findfont: score(FontEntry(fname='C:\\Users\\User\\miniconda3\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUni.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-27 19:11:36,138 findfont: score(FontEntry(fname='C:\\Users\\User\\miniconda3\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralBolIta.ttf', name='STIXGeneral', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-05-27 19:11:36,138 findfont: score(FontEntry(fname='C:\\Users\\User\\miniconda3\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-BoldOblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-05-27 19:11:36,139 findfont: score(FontEntry(fname='C:\\Users\\User\\miniconda3\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-Bold.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-05-27 19:11:36,139 findfont: score(FontEntry(fname='C:\\Users\\User\\miniconda3\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-BoldOblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 1.335
2025-05-27 19:11:36,139 findfont: score(FontEntry(fname='C:\\Users\\User\\miniconda3\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneral.ttf', name='STIXGeneral', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-27 19:11:36,139 findfont: score(FontEntry(fname='C:\\Users\\User\\miniconda3\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizTwoSymBol.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-05-27 19:11:36,139 findfont: score(FontEntry(fname='C:\\Users\\User\\miniconda3\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmtt10.ttf', name='cmtt10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-27 19:11:36,139 findfont: score(FontEntry(fname='C:\\Users\\User\\miniconda3\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerifDisplay.ttf', name='DejaVu Serif Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
