time,A_pos_x,A_vel_x,A_pos_y,A_vel_y,A_pos_z,A_vel_z,B_pos_x,B_vel_x,B_pos_y,B_vel_y,B_pos_z,B_vel_z,C_pos_x,C_vel_x,C_pos_y,C_vel_y,C_pos_z,C_vel_z
0.005000000000000001,6.231011264462457e-06,0.0024885719949951325,1.0836536479367423e-05,0.004336839542232579,0.0,0.0,0.9999838877051813,-0.006445690409873316,0.006002051738212616,1.2008141907287646,0.0,0.0,-0.5049901187164457,-0.996042881585122,0.8634871117253081,-0.5051510302709972,0.0,0.0
0.010000000000000005,2.4848432282930348e-05,0.004954545530104364,4.3389891939410684e-05,0.008686707187169938,0.0,0.0,0.9999355357068269,-0.012895859174673138,0.012008078828962546,1.2015901521348893,0.0,0.0,-0.5099603841391098,-0.9920586863554316,0.860948531279098,-0.5102768593220587,0.0,0.0
0.01500000000000001,5.573900360960168e-05,0.007397814370374333,9.772490469889853e-05,0.013049481622875387,0.0,0.0,0.9998549219371614,-0.019350377322553618,0.018017890288318798,1.2023279491144163,0.0,0.0,-0.5149106609407711,-0.9880474370478212,0.8583843848069824,-0.5153774307372911,0.0,0.0
0.020000000000000014,9.878894381208535e-05,0.009818275959776699,0.00017390580019974853,0.017425039024032377,0.0,0.0,0.9997420249640697,-0.02580911955429473,0.024031295454173474,1.2030276454889375,0.0,0.0,-0.519840813907882,-0.9840091564054826,0.8557947987456269,-0.5204526845129698,0.0,0.0
0.02500000000000002,0.00015388396792016457,0.012215831442948933,0.0002719961786372994,0.021813253130574944,0.0,0.0,0.999596823972834,-0.03227196420360741,0.030048103980699802,1.2036893039378915,0.0,0.0,-0.5247507079407542,-0.9799438672393421,0.8531798998406631,-0.5255025570684665,0.0,0.0
0.030000000000000023,0.0002209093059845728,0.014590385687469069,0.00039205900298029976,0.02621399532495767,0.0,0.0,0.9994192987480676,-0.03873879319753998,0.03606812583247437,1.204312985931947,0.0,0.0,-0.529640208054052,-0.9758515924899296,0.8505398151645456,-0.5305269812569049,0.0,0.0
0.035000000000000024,0.00029974972174860644,0.016941847306726043,0.000534156587374017,0.030627134708148106,0.0,0.0,0.9992094296558467,-0.04520949201702023,0.042091171278268884,1.2048987516674385,0.0,0.0,-0.5345091793775951,-0.9717323552897065,0.8478746721343574,-0.5355258863755867,0.0,0.0
0.04000000000000003,0.00039028953143570164,0.019270128683445045,0.0006983505859202886,0.035052538174425774,0.0,0.0,0.9989671976260404,-0.05168394965756598,0.04811705088451674,1.2054466600018003,0.0,0.0,-0.539357487157476,-0.9675861790258797,0.8451845985295632,-0.540499198176227,0.0,0.0
0.04500000000000003,0.0004924126226563952,0.02157514599392484,0.0008847019818287613,0.03949007048507237,0.0,0.0,0.9986925841348346,-0.058162058590196,0.05414557550845908,1.2059567683899717,0.0,0.0,-0.5441849967574909,-0.9634130874037296,0.8424697225097125,-0.5454468388750447,0.0,0.0
0.05000000000000004,0.0006060024734383654,0.023856819233042142,0.001093271076933985,0.04393959434103878,0.0,0.0,0.9983855711874523,-0.06464371472257095,0.06017655629097527,1.2064291328217067,0.0,0.0,-0.5489915736608904,-0.959213104510472,0.839730172632091,-0.5503687271627463,0.0,0.0
0.05500000000000004,0.0007309421713835225,0.026115072240075657,0.001324117481573466,0.04840097045467552,0.0,0.0,0.9980461413010664,-0.07112881736039398,0.066209804649102,1.206863807759773,0.0,0.0,-0.5537770834724494,-0.9549862548796828,0.8369660778693246,-0.5552647782144499,0.0,0.0
0.060000000000000046,0.0008671144329563752,0.028349832725400436,0.0015773001048222076,0.05287405762061355,0.0,0.0,0.9976742774879055,-0.0776172691690984,0.0722451322682457,1.2072608460789718,0.0,0.0,-0.5585413919208615,-0.9507325635563033,0.8341775676269323,-0.5601349036995873,0.0,0.0
0.06500000000000004,0.0010144016229081424,0.03056103229810075,0.0018528771450797166,0.05735871278588387,0.0,0.0,0.9972699632385514,-0.08410897613584875,0.07828235109409178,1.207620299005947,0.0,0.0,-0.5632843648614589,-0.9464520561622535,0.8313647717608286,-0.5649790117918331,0.0,0.0
0.07000000000000005,0.0011726857738413269,0.032748606494547944,0.002150906081005892,0.061854791119364975,0.0,0.0,0.9968331825054235,-0.09060384753188112,0.08432127332421498,1.2079422160597326,0.0,0.0,-0.5680058682792644,-0.9421447589626682,0.8285278205947794,-0.5697970071791004,0.0,0.0
0.07500000000000005,0.0013418486059196771,0.0349124948079873,0.0024714436628026464,0.06636214608064772,0.0,0.0,0.9963639196864524,-0.0971017958752065,0.09036171139939411,1.2082266449929993,0.0,0.0,-0.5727057682923717,-0.9378106989327821,0.8256668449378034,-0.5745887910736497,0.0,0.0
0.08000000000000006,0.001521771546728698,0.03705264071917588,0.002814545903838596,0.07088062948840863,0.0,0.0,0.9958621596089383,-0.1036027368937,0.09640347799463475,1.2084736317339433,0.0,0.0,-0.5773839311556668,-0.9334499038254771,0.8227819761015266,-0.5793542612223537,0.0,0.0
0.08500000000000006,0.0017123357512920604,0.03916899172811148,0.0031802680726145715,0.07541009158838326,0.0,0.0,0.9953278875135932,-0.1101065894885991,0.10244638600990283,1.208683220328782,0.0,0.0,-0.5820402232648849,-0.929062402239514,0.8198733459174826,-0.5840933119171671,0.0,0.0
0.09000000000000007,0.00191342212224946,0.041261499386890166,0.0035686646850681875,0.07995038112103178,0.0,0.0,0.9947610890387646,-0.11661327569843022,0.10849024856057211,1.2088554528848092,0.0,0.0,-0.5866745111610134,-0.9246482236884614,0.8169410867543596,-0.5888058340058423,0.0,0.0
0.09500000000000007,0.002124911330201662,0.04333011933372844,0.003979789497216167,0.08450134538899112,0.0,0.0,0.9941617502048379,-0.1231227206633851,0.11453487896758832,1.2089903695139461,0.0,0.0,-0.5912866615350387,-0.9202073986703451,0.8139853315351954,-0.5934917149029394,0.0,0.0
0.10000000000000007,0.002346683834228639,0.04537481132818361,0.004413695498133585,0.08906283032440701,0.0,0.0,0.9935298573988165,-0.1296348525901649,0.12058009074735213,1.209088008276772,0.0,0.0,-0.5958765412330445,-0.9157399587380207,0.811006213754514,-0.5981508386011811,0.0,0.0
0.10500000000000008,0.00257861990258687,0.0473955392876038,0.004870434903269676,0.09363468055624173,0.0,0.0,0.9928653973590764,-0.13614960271731077,0.12662569760132328,1.2091484051269472,0.0,0.0,-0.6004440172616626,-0.9112459365702951,0.8080038674954066,-0.6027830856831914,0.0,0.0
0.11000000000000008,0.002820599633592029,0.04939227132483736,0.0053500591481003106,0.09821673947765418,0.0,0.0,0.9921683571602917,-0.1426669052810374,0.132671513405348,1.2091715938560184,0.0,0.0,-0.6049889567938833,-0.9067253660438017,0.8049784274465512,-0.607388333333675,0.0,0.0
0.11500000000000009,0.0030725029766934205,0.05136497978722871,0.0058526188821177594,0.10280884931354882,0.0,0.0,0.991438724198532,-0.14918669748158647,0.13871735219871095,1.2091576060385272,0.0,0.0,-0.609511227175225,-0.9021782823056441,0.8019300289191709,-0.6119664553520786,0.0,0.0
