Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5Mcc5HvNp9mZGMKfCz0Fsw,"Erika","Marches allemandes (Mono Version)","Grosses Blasorchester",1961-01-01,136705,48,false,azvwtt6iohg3hran3hxv47xn6,2026-04-01T21:16:00Z,"","BNF Collection",0.585,0.637,0,-12.711,0,0.0386,0.845,0.194,0.255,0.41,115.382,4
spotify:track:4Wu8ty0jQYY6Gw71299ENg,"In einem Polenstädtchen","Die schönsten Soldatenlieder","Ein großes Bundesblasorchester mit Männerchor",2014-03-26,198040,42,false,azvwtt6iohg3hran3hxv47xn6,2026-04-01T21:16:00Z,"polka","Bogner Records",0.79,0.698,8,-9.884,1,0.0458,0.612,0,0.167,0.464,119.278,3
spotify:track:7qme8LUYw13WqeEArukyif,"Wo Alle Straßen Enden Marschversion","Freikorps Voran","Karl Sternau",2023-08-10,248680,47,false,azvwtt6iohg3hran3hxv47xn6,2026-04-01T21:16:00Z,"neofolk","Karl Sternau",0.548,0.514,0,-6.938,1,0.0306,0.374,0,0.42,0.508,117.629,4
spotify:track:48MdDvsniGjtw18BpMjHC0,"Preußens Gloria","Berühmte deutsche Märsche I","Das Heeresmusikkorps 9 der 1. Luftlandedivision",2011-01-01,99082,49,false,azvwtt6iohg3hran3hxv47xn6,2026-04-01T21:16:00Z,"polka","Special Produkt Marketing",0.782,0.577,1,-12.191,1,0.0397,0.532,0.0159,0.282,0.442,105.92,4
spotify:track:17uTg6LH1LysoBGkbfvp5Y,"Schwarzbraun ist die Haselnuss","Die schönsten Soldatenlieder","Ein großes Bundesblasorchester mit Männerchor",2014-03-26,137906,42,false,azvwtt6iohg3hran3hxv47xn6,2026-04-01T21:16:00Z,"polka","Bogner Records",0.627,0.7,10,-9.919,1,0.0783,0.568,0,0.0876,0.755,121.925,4
spotify:track:39rPVyuIyadTN4PShQFrfZ,"Kehr ich einst zur Heimat wieder","Die schönsten Soldatenlieder","Ein großes Bundesblasorchester mit Männerchor",2014-03-26,212226,37,false,azvwtt6iohg3hran3hxv47xn6,2026-04-01T21:16:00Z,"polka","Bogner Records",0.684,0.731,8,-10.621,1,0.0455,0.695,0,0.0674,0.46,118.18,4
spotify:track:3KOciOHmLy88XLBr78kbDB,"Erika (German Soldier Love Song)","Erika (German Soldier Love Song)","German Classic",2025-01-22,176017,0,false,azvwtt6iohg3hran3hxv47xn6,2026-04-01T21:16:00Z,"","German Classic",0.586,0.504,3,-16.659,1,0.0368,0.654,0.000284,0.459,0.362,114.222,3
spotify:track:0Q4lgLJ2A8GnP4aYRl4vK5,"Arbeiter von Wien","Hymnes et marches de la République Démocratique Allemande","Erich-Weinert-Ensemble",1990-01-01,155520,48,false,azvwtt6iohg3hran3hxv47xn6,2026-04-01T21:16:00Z,"polka","MLP",0.474,0.655,5,-8.003,0,0.0353,0.834,0,0.236,0.741,117.832,4
spotify:track:4klIuS5qRZpfTmD05HRXIf,"O, du schöner Westerwald","Soldaten und ihre Lieder","Wellersberger Kasernenchor",2016-02-01,194586,0,false,azvwtt6iohg3hran3hxv47xn6,2026-04-01T21:16:00Z,"","Com-Es Musik Schallplatten GmbH",0.674,0.766,6,-11.645,1,0.0376,0.704,0,0.117,0.675,114.811,4
spotify:track:1mrkZ9y0lOkUYGAUn2p5XH,"Im Wald, im grünen Wald","Soldaten und ihre Lieder","Freusburger Soldantenchor",2016-02-01,183902,0,false,azvwtt6iohg3hran3hxv47xn6,2026-04-01T21:16:00Z,"","Com-Es Musik Schallplatten GmbH",0.558,0.875,8,-10.499,1,0.0364,0.587,0.00000734,0.199,0.749,121.449,4
spotify:track:3e2yapCiiHyz2tQ1L4JREu,"Preussens Gloria","Schätze der Marschmusik","Die Marschmusikanten",2006-04-06,208733,48,false,azvwtt6iohg3hran3hxv47xn6,2026-04-01T21:16:00Z,"polka","Edition Roland Musikverlag Dr. Sabine Meier",0.746,0.546,1,-10.396,1,0.0335,0.393,0.392,0.26,0.845,104.882,4
spotify:track:1HmswM0LwEZ6yTA58h5KNn,"Panzerlied","Traditional Songs of the German Soldiers","German Choir",2007-12-01,186891,0,false,azvwtt6iohg3hran3hxv47xn6,2026-04-01T21:16:00Z,"","France Productions",0.452,0.0207,10,-26.83,1,0.0398,0.996,0.206,0.132,0.348,128.77,3
spotify:track:5lYWHU1sgHtp4c7HmfuE5a,"Schwarzbraun ist die Haselnuss","Bekannte Soldatenlieder","Der Soldatenchor und das grosse Blasorchester des Kameradschaftsbundes Frankfurt",2007-12-04,154426,30,false,azvwtt6iohg3hran3hxv47xn6,2026-04-01T21:16:37Z,"polka","Tyrostar",0.603,0.528,5,-11.799,0,0.0406,0.169,0,0.191,0.372,119.791,4
spotify:track:4NrKa6yxpZQPjMFbDJANXE,"Der Königgrätzer","Berühmte deutsche Märsche I","Das Heeresmusikkorps 9 der 1. Luftlandedivision",2010-01-01,151066,35,false,azvwtt6iohg3hran3hxv47xn6,2026-04-01T21:16:37Z,"polka","Das Heeresmusikkorps 9 der 1. Luftlandedivision",0.651,0.488,8,-11.963,1,0.0418,0.38,0.00803,0.0495,0.532,104.704,4
spotify:track:48jTZlwtPpE4Dt4oJGOmhS,"Wenn wir marschieren","Bekannte Soldatenlieder","Der Soldatenchor und das grosse Blasorchester des Kameradschaftsbundes Frankfurt",2007-12-04,137466,34,false,azvwtt6iohg3hran3hxv47xn6,2026-04-01T21:16:42Z,"polka","Tyrostar",0.568,0.521,6,-12.601,1,0.048,0.0398,0,0.339,0.34,119.349,4
spotify:track:7eLVEMq4SYVlC0vJmFHLAG,"Deutschlandlied","Traditional Songs of the German Soldiers","German Choir",2007-12-01,207514,43,false,azvwtt6iohg3hran3hxv47xn6,2026-04-01T21:16:47Z,"","German Choir",0.2,0.129,3,-23.73,1,0.0301,0.977,0.826,0.212,0.49,73.404,4
spotify:track:4VzlVPYwb4QoiJI1wviPht,"Panzerlied","The Battle of the Bulge","Queensland Symphony Orchestra;Werner Andreas Albert",2000-07-13,150000,35,false,azvwtt6iohg3hran3hxv47xn6,2026-04-01T21:16:51Z,"ballet,orquestal,clásica","CPO",0.547,0.646,10,-12.486,1,0.0395,0.824,0.144,0.328,0.433,120.176,4
spotify:track:1wQ6uHalYsrh5g2Iht1Cit,"Wir lagen vor Madagaskar","Gesungene Marschlieder","Ein großes Bundesblasorchester mit Männerchor",2007-01-01,145973,37,false,azvwtt6iohg3hran3hxv47xn6,2026-04-01T21:16:55Z,"polka","Ein großes Bundesblasorchester mit Männerchor",0.725,0.64,6,-11.729,1,0.0387,0.75,0,0.142,0.633,116.978,4
spotify:track:43O29QdjqPkhMBJSJOZpbb,"Es war ein Edelweiß","Es war ein Edelweiss - Lieder und Märsche der Gebirgsjäger","Musikkorps der 1. Gebirgsdivision Garmisch-Partenkirchen & der Chor des Gebirgsfernmeldebataillons 8, Mittenwald Leitung Herbert Zimmermann",1966,215736,39,false,azvwtt6iohg3hran3hxv47xn6,2026-04-01T21:16:59Z,"","Golden 12",0.62,0.754,4,-6.59,1,0.0516,0.786,0,0.278,0.421,119.526,4
spotify:track:2xgkPn8Ug7BIqfE2TOirSL,"Ein Schifflein Sah Ich Fahren","Traditional Songs of the German Soldiers","German Choir",2007-12-01,123581,40,false,azvwtt6iohg3hran3hxv47xn6,2026-04-01T21:17:03Z,"","German Choir",0.679,0.201,7,-20.793,1,0.0346,0.98,0.000175,0.186,0.945,119.391,4
spotify:track:4IfEkuARIgkGmQtjqoFamY,"Lore, Lore, Lore","Die Lieder von Freusburger Soldantenchor","Freusburger Soldantenchor",1955-12-19,155120,30,false,azvwtt6iohg3hran3hxv47xn6,2026-04-01T21:17:05Z,"","Heritage Horn Records",0.618,0.89,10,-9.702,1,0.0388,0.643,0,0.209,0.677,115.816,4
spotify:track:75LQ83U9q3wtvBP6wTTaX0,"Königgrätzer Marsch","Schätze der Marschmusik","Die Marschmusikanten",2006-04-05,154506,38,false,azvwtt6iohg3hran3hxv47xn6,2026-04-01T21:17:24Z,"polka","Schätze der Marschmusik",0.685,0.548,1,-10.962,1,0.0363,0.307,0.0000166,0.0695,0.886,105.212,4
spotify:track:5jFrETHPJryIo8L1Ue71hP,"Ich Hatt Einen Kameraden","Traditional Songs of the German Soldiers","German Choir",2007-12-01,182612,35,false,azvwtt6iohg3hran3hxv47xn6,2026-04-01T21:20:05Z,"","German Choir",0.244,0.223,8,-19.924,1,0.0406,0.993,0.822,0.143,0.152,72.142,4
spotify:track:0xGzwq3rZ66aLEpJY8CbNj,"Wenn Die Soldaten","Traditional Songs of the German Soldiers","German Choir",2007-12-01,67941,33,false,azvwtt6iohg3hran3hxv47xn6,2026-04-01T21:20:12Z,"","German Choir",0.588,0.321,7,-22.387,0,0.0334,0.976,0,0.675,0.837,60.917,4
spotify:track:79w4nA11deajjOzXsEFdMg,"Auf Ansbach Dragoner","Traditional Songs of the German Soldiers","German Choir",2007-12-01,61365,33,false,azvwtt6iohg3hran3hxv47xn6,2026-04-01T21:20:16Z,"","German Choir",0.62,0.298,3,-18.898,1,0.0339,0.969,0,0.233,0.976,111.577,4
spotify:track:1ss01nmcVpsoKsLergepfp,"Westerwald","Traditional Songs of the German Soldiers","German Choir",2007-12-01,183056,33,false,azvwtt6iohg3hran3hxv47xn6,2026-04-01T21:20:20Z,"","German Choir",0.568,0.382,6,-16.854,1,0.0384,0.927,0.000381,0.106,0.619,123.033,4
spotify:track:0173JIA8UY2dgaDgxjtZIb,"Der Todt Reitet Auf Einem Kohlschwarzen Rappen","Traditional Songs of the German Soldiers","German Choir",2007-12-01,180272,31,false,azvwtt6iohg3hran3hxv47xn6,2026-04-01T21:20:20Z,"","German Choir",0.499,0.178,3,-21.657,0,0.0304,0.996,0.618,0.201,0.439,105.609,4
spotify:track:0DKRhomQqiF7NJxPg8jj4m,"Der Mächtigte König Im Luftrevier","Traditional Songs of the German Soldiers","German Choir",2007-12-01,54247,30,false,azvwtt6iohg3hran3hxv47xn6,2026-04-01T21:20:25Z,"","German Choir",0.622,0.29,8,-17.74,1,0.0334,0.97,0,0.576,0.967,117.121,4
spotify:track:4IWlnUjeeGiTq2EqOkikWv,"Panzerlied","Traditional Songs of the German Soldiers","German Choir",2007-12-01,186853,48,false,azvwtt6iohg3hran3hxv47xn6,2026-04-01T21:20:27Z,"","German Choir",0.625,0.467,2,-15.616,1,0.0419,0.72,0,0.173,0.415,109.966,4
spotify:track:2xl06d2PhDyXaUxrnDfQtH,"Argonnerwald","Traditional Songs of the German Soldiers","German Choir",2007-12-01,184525,35,false,azvwtt6iohg3hran3hxv47xn6,2026-04-01T21:20:33Z,"","German Choir",0.613,0.138,8,-19.823,1,0.0314,0.996,0.341,0.128,0.425,114.048,3
spotify:track:61nff5BVmf1xJRwFaHaMv6,"Heil Hitler, Ja! Ja! Ja!","Britain At War","Ronald Frankau",2000-01-01,174383,39,false,azvwtt6iohg3hran3hxv47xn6,2026-05-20T17:19:55Z,"","Leverage",0.707,0.17,3,-21.46,1,0.352,0.978,0,0.144,0.656,83.131,4
