Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:00SmB7n85SKROGjybsyq5i,"Bongo Bong","Clandestino","Manu Chao",1998-10-06,158426,77,false,azvwtt6iohg3hran3hxv47xn6,2022-05-02T12:48:16Z,"música alternativa latina","Radio Bemba",0.755,0.545,9,-10.027,0,0.0646,0.944,0.000118,0.144,0.964,149.807,4
spotify:track:5Hc7O2dX51NI4YcHPuoOpw,"Desaparecido","Clandestino","Manu Chao",1998-10-06,227160,68,false,azvwtt6iohg3hran3hxv47xn6,2022-05-02T12:48:20Z,"música alternativa latina","Radio Bemba",0.591,0.627,9,-6.903,0,0.0935,0.669,0,0.127,0.741,191.944,4
spotify:track:6b37xrsNCWYIUphFBazqD6,"Me Gustas Tu","Próxima Estación: Esperanza","Manu Chao",2001-06-01,239986,85,false,azvwtt6iohg3hran3hxv47xn6,2022-05-02T12:48:25Z,"música alternativa latina","Radio Bemba",0.657,0.741,11,-6.822,0,0.0825,0.663,0.494,0.222,0.908,175.949,4
spotify:track:59hH7GJFrSd5v9FwgSZEw8,"Mentira","Clandestino","Manu Chao",1998-10-06,277013,63,false,azvwtt6iohg3hran3hxv47xn6,2022-05-02T12:48:35Z,"música alternativa latina","Radio Bemba",0.604,0.579,5,-8.3,0,0.045,0.474,0.0000089,0.531,0.793,75.942,4
spotify:track:5VEbIsn42Z8D3bz3RsjQcV,"Lágrimas de oro","Clandestino","Manu Chao",1998-10-06,177573,57,false,azvwtt6iohg3hran3hxv47xn6,2022-05-02T12:48:46Z,"música alternativa latina","Radio Bemba",0.701,0.824,9,-7.06,1,0.0412,0.763,0.0000336,0.111,0.711,96.058,4
spotify:track:4s85QjFYaW2mODjqjriyzw,"Por el suelo","Clandestino","Manu Chao",1998-10-06,141413,56,false,azvwtt6iohg3hran3hxv47xn6,2022-05-02T12:48:51Z,"música alternativa latina","Radio Bemba",0.728,0.628,10,-12.02,0,0.129,0.457,0.0000305,0.687,0.971,78.957,4
spotify:track:15boojE8lD9VfJku7h4rpB,"Welcome to Tijuana","Clandestino","Manu Chao",1998-10-06,244093,55,false,azvwtt6iohg3hran3hxv47xn6,2022-05-02T12:48:55Z,"música alternativa latina","Radio Bemba",0.642,0.539,2,-9.164,0,0.0584,0.51,0.0000568,0.0896,0.694,142.006,4
spotify:track:6HisCl5XBGJMw9hZorXlmm,"Día luna...Día pena","Clandestino","Manu Chao",1998-10-06,90133,51,false,azvwtt6iohg3hran3hxv47xn6,2022-05-02T12:48:59Z,"música alternativa latina","Radio Bemba",0.766,0.321,4,-10.803,0,0.0505,0.796,0.00000178,0.679,0.824,122.06,4
spotify:track:7CU9coD7J9xunQCvKEHrOf,"Malegría","Clandestino","Manu Chao",1998-10-06,175280,50,false,azvwtt6iohg3hran3hxv47xn6,2022-05-02T12:49:03Z,"música alternativa latina","Radio Bemba",0.685,0.888,9,-8.396,0,0.0891,0.153,0.0163,0.364,0.598,121.972,4
spotify:track:6P74cWuc5hPhCZB5yuSZsH,"Minha galera","Clandestino","Manu Chao",1998-10-06,141720,58,false,azvwtt6iohg3hran3hxv47xn6,2022-05-02T12:49:09Z,"música alternativa latina","Radio Bemba",0.871,0.452,4,-8.883,1,0.0472,0.875,0,0.135,0.651,130.083,4
